x,open,high,low,close
2014-06-02T00:00:00.000,5050,5087.5,5000,5037.5
2014-06-03T00:00:00.000,5100,5100,5012.5,5037.5
2014-06-04T00:00:00.000,5037.5,5112.5,5037.5,5100
2014-06-05T00:00:00.000,5050,5087.5,5025,5050
2014-06-06T00:00:00.000,5037.5,5062.5,5012.5,5050
2014-06-09T00:00:00.000,5025,5050,4987.5,5012.5
2014-06-10T00:00:00.000,5012.5,5100,5012.5,5100
2014-06-11T00:00:00.000,5075,5100,5062.5,5100
2014-06-12T00:00:00.000,5100,5100,5075,5100
2014-06-13T00:00:00.000,5062.5,5137.5,5062.5,5112.5
2014-06-16T00:00:00.000,5100,5112.5,5000,5000
2014-06-17T00:00:00.000,5012.5,5037.5,4975,5000
2014-06-18T00:00:00.000,4975,5012.5,4975,5000
2014-06-19T00:00:00.000,4987.5,5050,4987.5,5050
2014-06-20T00:00:00.000,5050,5062.5,4987.5,5050
2014-06-23T00:00:00.000,5000,5050,4987.5,4987.5
2014-06-24T00:00:00.000,4987.5,5025,4987.5,5000
2014-06-25T00:00:00.000,4975,5000,4975,4987.5
2014-06-26T00:00:00.000,4987.5,5012.5,4975,5000
2014-06-27T00:00:00.000,4987.5,5000,4937.5,4950
2014-06-30T00:00:00.000,4937.5,5025,4937.5,5000
2014-07-01T00:00:00.000,5000,5037.5,4975,5037.5
2014-07-02T00:00:00.000,5000,5125,5000,5112.5
2014-07-03T00:00:00.000,5137.5,5137.5,5062.5,5075
2014-07-04T00:00:00.000,5012.5,5100,5012.5,5037.5
2014-07-07T00:00:00.000,5050,5125,5050,5112.5
2014-07-08T00:00:00.000,5125,5125,5087.5,5112.5
2014-07-10T00:00:00.000,5150,5187.5,5125,5175
2014-07-11T00:00:00.000,5100,5100,5000,5037.5
2014-07-14T00:00:00.000,5037.5,5075,5000,5012.5
2014-07-15T00:00:00.000,5000,5050,4975,4987.5
2014-07-16T00:00:00.000,4987.5,5250,4975,5250
2014-07-17T00:00:00.000,5250,5262.5,5200,5250
2014-07-18T00:00:00.000,5200,5275,5200,5237.5
2014-07-21T00:00:00.000,5275,5287.5,5237.5,5250
2014-07-22T00:00:00.000,5275,5275,5100,5225
2014-07-23T00:00:00.000,5275,5275,5250,5262.5
2014-07-24T00:00:00.000,5287.5,5287.5,5212.5,5237.5
2014-07-25T00:00:00.000,5287.5,5287.5,5150,5225
2014-08-04T00:00:00.000,5287.5,5300,5237.5,5300
2014-08-05T00:00:00.000,5325,5325,5262.5,5275
2014-08-06T00:00:00.000,5250,5250,5150,5175
2014-08-07T00:00:00.000,5250,5262.5,5175,5237.5
